2021-09-14 16:09:39,903 - INFO - Namespace(beta_paras='3,6,6,3', budget_list='3', did='d1', grain_alpha='5', grain_p='10', method='greedy', percent_R='0.25', percent_S='0.25', seed='32', version='v09141609')
2021-09-14 16:09:39,920 - INFO - Finish random requester set R and supplier set S 
2021-09-14 16:09:40,523 - INFO - (0.30000000000000004, 0.0) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,523 - INFO - (0.30000000000000004, 0.06000000000000001) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,523 - INFO - (0.30000000000000004, 0.12000000000000002) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,523 - INFO - (0.30000000000000004, 0.18000000000000005) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,524 - INFO - (0.30000000000000004, 0.24000000000000005) complete computation
2021-09-14 16:09:40,524 - INFO - max_history_budget=0, max_history_result=None
2021-09-14 16:09:40,524 - INFO - (0.30000000000000004, 0.30000000000000004) complete computation
2021-09-14 16:09:40,524 - INFO - max_history_budget=3, max_history_result=({17, 172, 109}, 693, {0: set(), 2: set(), 133: set(), 134: set(), 136: set(), 138: set(), 145: set(), 30: set(), 37: set(), 41: set(), 51: set(), 54: set(), 58: set(), 188: set(), 192: set(), 193: set(), 76: set(), 207: set(), 79: set(), 83: set(), 84: set(), 85: set(), 90: set(), 94: set(), 112: set(), 114: set(), 124: set(), 126: set()})
2021-09-14 16:09:40,524 - INFO - (0.4, 0.0) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,524 - INFO - (0.4, 0.08000000000000002) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,524 - INFO - (0.4, 0.16000000000000003) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,524 - INFO - (0.4, 0.24000000000000005) complete computation
2021-09-14 16:09:40,524 - INFO - max_history_budget=0, max_history_result=None
2021-09-14 16:09:40,524 - INFO - (0.4, 0.32000000000000006) complete computation
2021-09-14 16:09:40,525 - INFO - max_history_budget=0, max_history_result=None
2021-09-14 16:09:40,525 - INFO - (0.4, 0.4) complete computation
2021-09-14 16:09:40,525 - INFO - max_history_budget=0, max_history_result=None
2021-09-14 16:09:40,525 - INFO - (0.5, 0.0) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,525 - INFO - (0.5, 0.1) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,525 - INFO - (0.5, 0.2) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,525 - INFO - (0.5, 0.30000000000000004) complete computation
2021-09-14 16:09:40,525 - INFO - max_history_budget=3, max_history_result=({17, 172, 109}, 173, {0: set(), 133: set(), 145: set(), 114: set(), 85: set(), 58: set(), 94: set()})
2021-09-14 16:09:40,526 - INFO - (0.5, 0.4) complete computation
2021-09-14 16:09:40,526 - INFO - max_history_budget=3, max_history_result=({17, 172, 109}, 173, {0: set(), 133: set(), 145: set(), 114: set(), 85: set(), 58: set(), 94: set()})
2021-09-14 16:09:40,526 - INFO - (0.5, 0.5) complete computation
2021-09-14 16:09:40,526 - INFO - max_history_budget=3, max_history_result=({205, 49, 109}, 203, {0: set(), 133: set(), 145: set(), 114: set(), 85: set(), 58: set(), 94: set()})
2021-09-14 16:09:40,526 - INFO - (0.6000000000000001, 0.0) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,526 - INFO - (0.6000000000000001, 0.12000000000000002) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,526 - INFO - (0.6000000000000001, 0.24000000000000005) complete computation
2021-09-14 16:09:40,526 - INFO - max_history_budget=0, max_history_result=None
2021-09-14 16:09:40,526 - INFO - (0.6000000000000001, 0.3600000000000001) complete computation
2021-09-14 16:09:40,526 - INFO - max_history_budget=0, max_history_result=None
2021-09-14 16:09:40,526 - INFO - (0.6000000000000001, 0.4800000000000001) complete computation
2021-09-14 16:09:40,526 - INFO - max_history_budget=0, max_history_result=None
2021-09-14 16:09:40,526 - INFO - (0.6000000000000001, 0.6000000000000001) complete computation
2021-09-14 16:09:40,527 - INFO - max_history_budget=3, max_history_result=({49, 169, 31}, 42, {133: set()})
2021-09-14 16:09:40,527 - INFO - (0.7000000000000001, 0.0) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,527 - INFO - (0.7000000000000001, 0.14) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,527 - INFO - (0.7000000000000001, 0.28) complete computation
2021-09-14 16:09:40,527 - INFO - max_history_budget=0, max_history_result=None
2021-09-14 16:09:40,527 - INFO - (0.7000000000000001, 0.4200000000000001) complete computation
2021-09-14 16:09:40,527 - INFO - max_history_budget=0, max_history_result=None
2021-09-14 16:09:40,527 - INFO - (0.7000000000000001, 0.56) complete computation
2021-09-14 16:09:40,527 - INFO - max_history_budget=0, max_history_result=None
2021-09-14 16:09:40,527 - INFO - (0.7000000000000001, 0.7000000000000001) complete computation
2021-09-14 16:09:40,527 - INFO - max_history_budget=0, max_history_result=None
2021-09-14 16:09:40,528 - INFO - (0.8, 0.0) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,528 - INFO - (0.8, 0.16000000000000003) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,528 - INFO - (0.8, 0.32000000000000006) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,528 - INFO - (0.8, 0.4800000000000001) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,528 - INFO - (0.8, 0.6400000000000001) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,528 - INFO - (0.8, 0.8) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,528 - INFO - (0.9, 0.0) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,528 - INFO - (0.9, 0.18000000000000002) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,528 - INFO - (0.9, 0.36000000000000004) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,528 - INFO - (0.9, 0.5400000000000001) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,528 - INFO - (0.9, 0.7200000000000001) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,528 - INFO - (0.9, 0.9) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,528 - INFO - (1.0, 0.0) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,529 - INFO - (1.0, 0.2) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,529 - INFO - (1.0, 0.4) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,529 - INFO - (1.0, 0.6000000000000001) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,529 - INFO - (1.0, 0.8) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,529 - INFO - (1.0, 1.0) is invalid scheme since at least one side is empty
2021-09-14 16:09:40,529 - INFO - cnt_invalid=50, cnt_valid=0
